V0,V-1,V-2,V-3,I0,ID0,dd-1,dd-2,dd-3,dv-1,dv-2,dv-3,dID-1,dID-2,dID-3,tag
-0.253,-0.31624,-0.37949,-0.37949,14.487,124.5,-0.019485,0.017637,0.011289,0.00063249,0.00033289,0,-0.014499,0.020161,0.014519,8
-0.253,-0.253,-0.31624,-0.37949,14.421,123.93,-0.013231,-0.019485,0.017637,0,0.00063249,0.00033289,-0.0057124,-0.014499,0.020161,8
-0.37949,-0.253,-0.253,-0.31624,14.123,121.37,-0.022361,-0.013231,-0.019485,-0.00063249,0,0.00063249,-0.012802,-0.0057124,-0.014499,8
7.7605,-0.37949,-0.253,-0.253,14.293,122.83,-0.037094,-0.022361,-0.013231,0.0814,-0.00063249,0,0.014631,-0.012802,-0.0057124,8
7.7605,7.7605,-0.37949,-0.253,14.393,123.69,0.028025,-0.037094,-0.022361,0,0.0814,-0.00063249,0.0095827,0.014631,-0.012802,8
7.7605,7.7605,7.7605,-0.37949,14.018,109.52,0.078928,0.028025,-0.037094,0,0,0.0814,-0.14176,0.0095827,0.014631,8
7.7605,7.7605,7.7605,7.7605,14.471,113.05,-0.087883,0.078928,0.028025,0,0,0,0.035366,-0.14176,0.0095827,8
7.6973,7.7605,7.7605,7.7605,14.165,110.66,0.10563,-0.087883,0.078928,-0.00063249,0,0,-0.023911,0.035366,-0.14176,8
7.7605,7.6973,7.7605,7.7605,13.94,108.91,-0.11801,0.10563,-0.087883,0.00063249,-0.00063249,0,-0.017529,-0.023911,0.035366,8
7.7605,7.7605,7.6973,7.7605,14.683,114.71,0.0078353,-0.11801,0.10563,0,0.00063249,-0.00063249,0.058036,-0.017529,-0.023911,8
-0.37949,7.7605,7.7605,7.6973,14.737,115.13,0.053971,0.0078353,-0.11801,-0.0814,0,0.00063249,0.0042305,0.058036,-0.017529,8
-0.37949,-0.37949,7.7605,7.7605,13.82,485.85,0.16744,0.053971,0.0078353,0,-0.0814,0,3.7071,0.0042305,0.058036,8
-0.37949,-0.37949,-0.37949,7.7605,14.169,110.69,-0.15763,0.16744,0.053971,0,0,-0.0814,-4.1684,3.7071,0.0042305,8
-0.253,-0.18975,7.9503,-0.253,14.205,244.16,-0.049605,-0.025169,0.028602,-0.00031624,-0.0814,0.091147,-1.0955,3.6218,-3.9153,8
-0.31624,-0.253,-0.18975,7.9503,14.221,99.989,-0.029091,-0.049605,-0.025169,-0.00015812,-0.00031624,-0.0814,-0.36042,-1.0955,3.6218,8
-0.37949,-0.31624,-0.253,-0.18975,13.799,107.81,-0.071828,-0.029091,-0.049605,-0.00070277,-0.00015812,-0.00031624,0.086874,-0.36042,-1.0955,8
-0.44274,-0.37949,-0.31624,-0.253,13.8,204.84,0.16762,-0.071828,-0.029091,-0.00063249,-0.00070277,-0.00015812,0.97035,0.086874,-0.36042,8
-0.44274,-0.44274,-0.37949,-0.31624,13.262,93.247,-0.14781,0.16762,-0.071828,0,-0.00063249,-0.00070277,-1.116,0.97035,0.086874,8
-0.56924,-0.44274,-0.44274,-0.37949,12.483,653.39,0.27792,-0.14781,0.16762,-0.001265,0,-0.00063249,5.6014,-1.116,0.97035,8
-0.56924,-0.56924,-0.44274,-0.44274,13.601,106.26,-0.22429,0.27792,-0.14781,0,-0.001265,0,-5.4713,5.6014,-1.116,8
-0.69574,-0.56924,-0.56924,-0.44274,12.981,111.55,0.038479,-0.22429,0.27792,-0.001265,0,-0.001265,0.052969,-5.4713,5.6014,8
-0.69574,-0.69574,-0.56924,-0.56924,13.086,92.012,-0.019653,0.038479,-0.22429,0,-0.001265,0,-0.050106,0.052969,-5.4713,8
-0.69574,-0.69574,-0.69574,-0.56924,12.765,89.751,0.032486,-0.019653,0.038479,0,0,-0.001265,-0.022618,-0.050106,0.052969,8
-0.69574,-0.69574,-0.69574,-0.69574,13.294,93.471,0.0034494,0.032486,-0.019653,0,0,0,0.037205,-0.022618,-0.050106,8
-0.69574,-0.69574,-0.69574,-0.69574,13.234,93.051,-0.019589,0.0034494,0.032486,0,0,0,-0.004156,0.037205,-0.022618,8
-0.69574,-0.69574,-0.69574,-0.69574,12.901,90.71,-0.0069278,-0.019589,0.0034494,0,0,0,-0.011708,-0.004156,0.037205,8
-0.75899,-0.69574,-0.69574,-0.69574,12.468,77.925,0.056891,-0.0069278,-0.019589,-0.00070277,0,0,-0.14205,-0.011708,-0.004156,8
