,surprise,fear,sad,disgust,happy,angry,neural
2018-06-29-09:06:45,0,0,0,0,0,0,1
2018-06-29-09:06:46,0,0,0,0,0,0,1
2018-06-29-09:06:47,0,0,0,0,0,0,1
2018-06-29-09:06:48,0,0,0,0,0,0,1
2018-06-29-09:06:49,0,0,0,0,0,0,1
2018-06-29-09:06:50,0,0,0,0,0,0,1
2018-06-29-09:06:51,0,0,0,0,0,0,1
2018-06-29-09:06:52,0,0,0,0,0,0,1
2018-06-29-09:06:53,0,0,0,0,0,0,1
2018-06-29-09:07:11,0,0,0,0,0,0,1
2018-06-29-09:07:20,0,0,0,0,0,0,1
2018-06-29-09:07:22,0,0,0,0,0,0,1
2018-06-29-09:07:25,0,0,0,0,0,0,1
2018-06-29-09:08:42,0,0,0,0,0,0,1
2018-06-29-09:08:43,0,0,0,0,0,0,1
2018-06-29-09:08:57,0,0,0,0,0,0,1
2018-06-29-09:09:04,0,0,0,0,0,0,1
2018-06-29-09:09:05,0,0,0,0,0,0,1
2018-06-29-09:09:18,0,0,0,0,0,0,1
2018-06-29-09:09:24,0,0,0,0,0,0,1
2018-06-29-09:09:25,0,0,0,0,0,0,1
2018-06-29-09:09:42,0,0,0,0,0,1,0
2018-06-29-09:09:54,0,0,0,0,0,1,0
2018-06-29-09:09:55,0,0,0,0,0,0,1
2018-06-29-09:10:39,0,0,0,0,0,1,0
2018-06-29-09:10:40,0,0,0,0,0,1,0
2018-06-29-09:10:43,0,0,0.666666667,0,0,0,0.333333333
2018-06-29-09:10:44,0,0,0,0,0,0,1
2018-06-29-09:10:46,0,0,0,0,0,0,1
2018-06-29-09:10:47,0,0,0,0,0,0,1
2018-06-29-09:10:48,0,0,0,0,0,0,1
2018-06-29-09:10:49,0,0,1,0,0,0,0
2018-06-29-09:10:51,0,0,0,0,0,0,1
2018-06-29-09:10:52,0,0,0,0,0,0,1
2018-06-29-09:10:54,0,0,0,0,0,0,1
2018-06-29-09:10:55,0,0,0,0,0,0,1
2018-06-29-09:10:56,0,0,0,0,0,0,1
2018-06-29-09:10:58,0,0,0,0,0,0,1
2018-06-29-09:10:59,0,0,0,0,0,0,1
2018-06-29-09:11:04,0,0,0,0,0,0,1
2018-06-29-09:11:05,0,0,0,0,0,0,1
2018-06-29-09:11:06,0,0,0,0,0,0,1
2018-06-29-09:11:07,0,0,0,0,0,0.5,0.5
2018-06-29-09:11:08,0,0,0,0,0,0,1
2018-06-29-09:11:09,0,0,0,0,0,0.666666667,0.333333333
2018-06-29-09:11:10,0,0,0,0,0,0.666666667,0.333333333
2018-06-29-09:11:11,0,0,0,0,0,0,1
2018-06-29-09:11:12,0,0,0,0,0,0.666666667,0.333333333
2018-06-29-09:11:13,0,0,0,0,0,0.333333333,0.666666667
2018-06-29-09:11:14,0,0,0,0,0,0.333333333,0.666666667
2018-06-29-09:11:15,0,0,0,0,0,1,0
2018-06-29-09:11:16,0,0,0,0,0,1,0
2018-06-29-09:11:17,0,0,0,0,0,1,0
2018-06-29-09:11:18,0,0,0,0,0.5,0.5,0
2018-06-29-09:11:30,0,0,0,0,0,0,1
2018-06-29-09:11:41,0,0,0,0,0,0,1
2018-06-29-09:11:42,0,0,0,0,0,0,1
2018-06-29-09:12:31,0,0,0,0,1,0,0
2018-06-29-09:12:45,0,0,0,0,0,0.5,0.5
2018-06-29-09:12:47,0,0,0,0,0,1,0
2018-06-29-09:12:48,0,0,0,0,0,0.333333333,0.666666667
2018-06-29-09:12:49,0,0,0,0,0,0,1
2018-06-29-09:12:50,0,0,0,0,0,0.666666667,0.333333333
2018-06-29-09:12:51,0,0,0,0,0,1,0
2018-06-29-09:12:52,0,0,0,0,0,1,0
2018-06-29-09:12:53,0,0,0,0,0,1,0
2018-06-29-09:12:56,0,0,0,0,0,0,1
2018-06-29-09:12:57,0,0,0,0,0,0,1
2018-06-29-09:12:58,0,0,0,0,0,0,1
2018-06-29-09:12:59,0,0,0,0,0,0,1
2018-06-29-09:13:00,0,0,0,0,0,0,1
2018-06-29-09:13:01,0,0,0,0,0,0,1
2018-06-29-09:13:02,0,0,0,0,0,0,1
2018-06-29-09:13:03,0,0,0,0,0,0,1
2018-06-29-09:13:04,0,0,0,0,0,0,1
2018-06-29-09:13:05,0,0,0,0,0,0,1
2018-06-29-09:13:08,0,0,0,0,0,0,1
2018-06-29-09:13:09,0,0,0,0,0,0,1
2018-06-29-09:13:10,0,0,0,0,0,0,1
2018-06-29-09:13:11,0,0,0,0,1,0,0
2018-06-29-09:13:13,0,0,0,0,1,0,0
2018-06-29-09:13:14,0,0,0,0,0.333333333,0,0.666666667
2018-06-29-09:13:15,0,0,0,0,0,0,1
2018-06-29-09:13:16,0,0,0,0,0,0,1
2018-06-29-09:13:17,0,0,0,0,0,0,1
2018-06-29-09:13:18,0,0,0,0,1,0,0
2018-06-29-09:13:19,0,0,0,0,1,0,0
2018-06-29-09:13:20,0,0,0,0,1,0,0
2018-06-29-09:13:23,0,0,0,0,1,0,0
2018-06-29-09:13:24,0,0,0,0,1,0,0
2018-06-29-09:13:25,0,0,0,0,0,0,1
2018-06-29-09:13:26,0,0,0,0,0,0,1
2018-06-29-09:13:27,0,0,0,0,0,0,1
2018-06-29-09:13:28,0,0,0,0,0,0,1
2018-06-29-09:13:29,0,0,0,0,0,0,1
2018-06-29-09:13:30,0,0,0,0,0,0,1
2018-06-29-09:13:31,0,0,0,0,0,0,1
2018-06-29-09:13:32,0,0,0,0,0,0,1
2018-06-29-09:13:33,0,0,0,0,0,0,1
2018-06-29-09:13:34,0,0,0,0,0,0,1
2018-06-29-09:13:35,0,0,0,0,0,0,1
2018-06-29-09:13:36,0,0,0,0,0,0,1
2018-06-29-09:13:37,0,0,0,0,0,0,1
2018-06-29-09:13:38,0,0,0,0,0,0,1
2018-06-29-09:13:39,0,0,0,0,0,0,1
2018-06-29-09:13:40,0,0,0,0,0,0,1
2018-06-29-09:13:41,0,0,0,0,0,0,1
2018-06-29-09:13:42,0,0,0,0,0,0,1
2018-06-29-09:13:43,0,0,0,0,0,0,1
2018-06-29-09:13:44,0,0,0,0,0,0,1
2018-06-29-09:13:45,0,0,0,0,0,0,1
